,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
27,4.0,0.0,0.0,384.0,1.0,244.0807695,5.0,4.0,17.0,0.0,244.2,244.0807695,2.0,141.0,-2.2
28,1.0,0.0,0.0,272.0,1.0,220.08479225,4.0,4.0,16.0,0.0,220.22,220.08479225,3.0,99.3,-1.2
29,0.0,0.0,0.0,190.0,1.0,152.01566732,2.0,2.0,10.0,0.0,152.18,152.01566732,0.0,85.2,0.0
30,2.0,0.0,0.0,461.0,1.0,272.04669267,7.0,2.0,18.0,0.0,272.28,272.04669267,4.0,135.0,-4.0
31,5.0,0.0,0.0,935.0,1.0,482.19540533,5.0,3.0,36.0,0.0,482.5,482.19540533,2.0,89.7,2.7
32,4.0,0.0,0.0,367.0,1.0,301.0577816,8.0,4.0,20.0,0.0,301.69,301.0577816,2.0,140.0,-0.1
33,0.0,0.0,0.0,552.0,1.0,448.0680657,8.0,2.0,29.0,0.0,449.3,448.0680657,5.0,76.1,4.1
34,0.0,0.0,0.0,319.0,1.0,305.0235007,4.0,0.0,20.0,0.0,306.15,305.0235007,3.0,56.5,3.0
35,1.0,1.0,0.0,773.0,1.0,474.23793885,6.0,3.0,35.0,0.0,474.6,474.23793885,10.0,121.0,4.6
36,1.0,0.0,0.0,473.0,1.0,315.14839557,3.0,2.0,24.0,0.0,315.4,315.14839557,5.0,73.1,4.0
37,0.0,0.0,0.0,609.0,1.0,421.13611681,4.0,1.0,31.0,0.0,421.5,421.13611681,3.0,87.7,5.0
38,0.0,0.0,0.0,489.0,1.0,412.0606145,6.0,1.0,28.0,0.0,413.3,412.0606145,6.0,77.8,5.1
39,1.0,0.0,0.0,562.0,1.0,397.19026038,4.0,3.0,30.0,0.0,397.5,397.19026038,6.0,92.6,3.7
40,1.0,0.0,0.0,556.0,1.0,393.12931735,6.0,2.0,26.0,0.0,393.5,393.12931735,4.0,158.0,2.8
41,1.0,0.0,0.0,456.0,1.0,358.17936135,4.0,2.0,27.0,0.0,358.4,358.17936135,6.0,76.8,3.6
42,0.0,0.0,0.0,647.0,1.0,360.05686343,5.0,3.0,26.0,0.0,360.4,360.05686343,2.0,122.0,4.1
43,0.0,0.0,0.0,1070.0,1.0,621.31758616,8.0,2.0,46.0,0.0,621.7,621.31758616,6.0,136.0,3.3
44,0.0,0.0,0.0,429.0,1.0,357.0767857,4.0,1.0,25.0,0.0,357.8,357.0767857,5.0,60.7,4.4
45,2.0,0.0,0.0,659.0,1.0,428.17360726,4.0,3.0,32.0,0.0,428.5,428.17360726,6.0,95.5,4.3
46,1.0,0.0,0.0,476.0,1.0,324.13863935,4.0,3.0,24.0,0.0,324.4,324.13863935,3.0,83.8,2.0
47,2.0,0.0,0.0,551.0,1.0,380.1655411,2.0,1.0,27.0,0.0,380.9,380.1655411,4.0,42.0,4.7
48,0.0,0.0,0.0,1640.0,1.0,867.3180958,11.0,3.0,61.0,0.0,868.4,867.3180958,12.0,183.0,8.2
49,0.0,0.0,0.0,564.0,1.0,462.08037,7.0,1.0,30.0,0.0,463.3,462.08037,3.0,90.0,3.4
50,1.0,0.0,0.0,1320.0,1.0,812.2581386,10.0,2.0,56.0,0.0,813.4,812.2581386,15.0,165.0,9.0
51,0.0,0.0,0.0,401.0,1.0,353.10970746,7.0,1.0,24.0,0.0,353.4,353.10970746,9.0,96.9,4.0
52,1.0,0.0,0.0,350.0,1.0,283.10308535,3.0,1.0,20.0,0.0,283.4,283.10308535,2.0,61.4,4.1
53,1.0,0.0,0.0,828.0,1.0,530.21901493,9.0,3.0,39.0,0.0,530.6,530.21901493,8.0,120.0,2.8
54,0.0,0.0,0.0,538.0,1.0,433.21138975,6.0,3.0,32.0,0.0,433.5,433.21138975,11.0,107.0,3.4
55,0.0,0.0,0.0,601.0,2.0,428.1866705,4.0,3.0,30.0,0.0,428.9,428.1866705,4.0,61.8,
56,0.0,0.0,0.0,645.0,1.0,453.25286064,5.0,1.0,34.0,0.0,453.6,453.25286064,7.0,69.2,4.6
57,1.0,0.0,0.0,508.0,1.0,369.12888313,6.0,0.0,27.0,0.0,369.4,369.12888313,3.0,59.2,3.7
58,1.0,0.0,0.0,579.0,1.0,440.26884506,5.0,2.0,33.0,0.0,440.6,440.26884506,7.0,60.1,4.6
59,1.0,0.0,0.0,849.0,1.0,544.26857028,5.0,3.0,40.0,0.0,544.6,544.26857028,11.0,109.0,4.3
60,0.0,0.0,0.0,414.0,1.0,304.02113,3.0,1.0,18.0,0.0,305.17,304.02113,2.0,67.8,4.0
61,0.0,1.0,0.0,753.0,1.0,467.18698652,6.0,3.0,35.0,0.0,467.5,467.18698652,6.0,101.0,4.3
62,0.0,0.0,0.0,460.0,1.0,320.16371128,3.0,1.0,24.0,0.0,320.4,320.16371128,3.0,50.2,1.9
63,0.0,0.0,0.0,360.0,1.0,315.0774544,5.0,1.0,22.0,0.0,315.75,315.0774544,4.0,56.3,4.0
64,1.0,0.0,0.0,686.0,1.0,462.24310442,4.0,1.0,34.0,0.0,462.6,462.24310442,7.0,67.2,4.9
65,0.0,0.0,0.0,771.0,1.0,481.07416829,8.0,3.0,32.0,0.0,481.5,481.07416829,6.0,124.0,4.2
66,0.0,0.0,0.0,630.0,1.0,398.1881947,3.0,2.0,30.0,0.0,398.5,398.1881947,3.0,57.5,7.4
